exp_id,conversion_support,tick,opportunities,expected_choice_share,realized_choice_share,cumulative_opportunities,cumulative_expected_choice_share,cumulative_realized_choice_share
Rational-Hub-Delayed,absent,26,58,0.48000783969720995,0.5,1399,0.4935636910201507,0.4789135096497498
Rational-Hub-Delayed,absent,27,49,0.5255259655669373,0.3673469387755102,1448,0.4946452873273278,0.47513812154696133
Rational-Hub-Delayed,absent,28,47,0.4920985960484779,0.574468085106383,1495,0.4945652241232435,0.4782608695652174
Rational-Hub-Delayed,absent,29,44,0.5167146499688823,0.4772727272727273,1539,0.49519847606424944,0.47823261858349575
Rational-Hub-Delayed,absent,30,60,0.4788282899562395,0.4666666666666667,1599,0.49458421016901455,0.47779862414008756
Rational-Hub-Delayed,present,1,47,0.5271778799780475,0.5319148936170213,47,0.5271778799780475,0.5319148936170213
Rational-Hub-Delayed,present,2,67,0.5285524917699606,0.582089552238806,114,0.5279857658557509,0.5614035087719298
Rational-Hub-Delayed,present,3,63,0.5233352785818742,0.5238095238095238,177,0.5263305076735235,0.5480225988700564
Rational-Hub-Delayed,present,4,50,0.46887765891000255,0.52,227,0.5136756951705453,0.5418502202643172
Rational-Hub-Delayed,present,5,55,0.48868364725469565,0.4727272727272727,282,0.5088013595841208,0.5283687943262412
Rational-Hub-Delayed,present,6,45,0.498580792628461,0.4888888888888889,327,0.507394859544351,0.5229357798165137
Rational-Hub-Delayed,present,7,47,0.5280846360064729,0.574468085106383,374,0.5099949116665963,0.5294117647058824
Rational-Hub-Delayed,present,8,53,0.5266312618314662,0.5660377358490566,427,0.5120598450594256,0.5339578454332553
Rational-Hub-Delayed,present,9,65,0.4917036875885155,0.47692307692307695,492,0.5093705153122525,0.5264227642276422
Rational-Hub-Delayed,present,10,48,0.5530959515404721,0.4583333333333333,540,0.513257220754761,0.5203703703703704
Rational-Hub-Delayed,present,11,58,0.585206541602768,0.5689655172413793,598,0.5202355829774774,0.5250836120401338
Rational-Hub-Delayed,present,12,55,0.5684544433177436,0.509090909090909,653,0.5242968958698428,0.5237366003062787
Rational-Hub-Delayed,present,13,55,0.5492216920608496,0.509090909090909,708,0.5262331441615171,0.5225988700564972
Rational-Hub-Delayed,present,14,45,0.6280999006557559,0.5333333333333333,753,0.5323207989320892,0.5232403718459495
Rational-Hub-Delayed,present,15,50,0.5367124866703248,0.6,803,0.5325942539593765,0.5280199252801993
Rational-Hub-Delayed,present,16,57,0.48177303493930507,0.43859649122807015,860,0.5292258708382788,0.522093023255814
Rational-Hub-Delayed,present,17,55,0.6072411292233082,0.5636363636363636,915,0.5339153125991275,0.5245901639344263
Rational-Hub-Delayed,present,18,60,0.5627142583472503,0.5666666666666667,975,0.5356875554143966,0.5271794871794871
Rational-Hub-Delayed,present,19,50,0.5947259733923645,0.58,1025,0.5385674782425901,0.5297560975609756
Rational-Hub-Delayed,present,20,51,0.5044126771324394,0.43137254901960786,1076,0.5369486168516815,0.525092936802974
Rational-Hub-Delayed,present,21,52,0.48620324016759553,0.38461538461538464,1128,0.534609290976174,0.5186170212765957
Rational-Hub-Delayed,present,22,41,0.5177427904606209,0.4146341463414634,1169,0.5340177370658766,0.5149700598802395
Rational-Hub-Delayed,present,23,70,0.5003259494234013,0.5142857142857142,1239,0.5321142462386181,0.5149313962873285
Rational-Hub-Delayed,present,24,46,0.5131253730117733,0.5434782608695652,1285,0.5314344889090968,0.5159533073929962
Rational-Hub-Delayed,present,25,56,0.4365186955069834,0.42857142857142855,1341,0.5274708167014023,0.5123042505592841
Rational-Hub-Delayed,present,26,58,0.48580411132327295,0.5172413793103449,1399,0.5257433907457687,0.5125089349535382
Rational-Hub-Delayed,present,27,49,0.5326450579795894,0.3673469387755102,1448,0.5259769416397309,0.5075966850828729
Rational-Hub-Delayed,present,28,47,0.49337873805265015,0.574468085106383,1495,0.5249521151724447,0.5096989966555184
Rational-Hub-Delayed,present,29,44,0.5190413831155183,0.5227272727272727,1539,0.5247831273813435,0.5100714749837557
